taxi_id,date_time,lon,lat
101,2008-02-03 16:36:59,116.44791,39.95044
101,2008-02-03 16:41:22,116.44789,39.95044
101,2008-02-03 16:42:00,116.44789,39.95044
101,2008-02-03 16:46:23,116.44733,39.95079
101,2008-02-03 16:47:01,116.44733,39.95079
101,2008-02-03 16:51:25,116.44738,39.95079
101,2008-02-03 16:52:03,116.44738,39.95079
101,2008-02-03 16:56:27,116.44738,39.95079
101,2008-02-03 16:57:04,116.44738,39.95079
111,2008-02-02 17:37:18,116.62423,39.83224
111,2008-02-02 17:42:06,116.61454,39.80799
111,2008-02-02 17:42:20,116.61487,39.80621
111,2008-02-02 17:47:21,116.60867,39.79747
111,2008-02-02 17:52:10,116.61696,39.82487
111,2008-02-02 17:52:23,116.61696,39.82679
111,2008-02-02 17:57:11,116.63394,39.83171
111,2008-02-02 19:18:56,116.63399,39.83144
111,2008-02-02 19:23:58,116.64416,39.8326
111,2008-02-02 23:48:34,116.63544,39.83066
111,2008-02-02 23:52:23,116.63397,39.83169
111,2008-02-04 13:13:24,116.63071,39.83627
111,2008-02-04 13:18:25,116.6253,39.85529
111,2008-02-04 13:18:43,116.6249,39.85554
111,2008-02-04 13:23:30,116.62483,39.85554
111,2008-02-04 13:28:31,116.62483,39.85554
111,2008-02-04 13:32:47,116.62936,39.8467
111,2008-02-04 13:33:33,116.63106,39.84304
111,2008-02-04 13:38:35,116.65121,39.8313
111,2008-02-04 13:42:51,116.66344,39.82159
111,2008-02-04 13:43:36,116.66481,39.82066
111,2008-02-04 13:45:45,116.66455,39.82054
111,2008-02-04 14:52:33,116.66332,39.82113
111,2008-02-04 14:57:35,116.64266,39.83053
111,2008-02-04 15:00:23,116.63391,39.83148
111,2008-02-04 15:02:36,116.63391,39.83148
111,2008-02-04 15:07:37,116.62282,39.83246
111,2008-02-04 15:10:26,116.61661,39.81875
111,2008-02-04 15:12:39,116.61351,39.80219
111,2008-02-04 15:17:40,116.59303,39.80246
111,2008-02-04 15:20:29,116.59192,39.80243
111,2008-02-04 15:21:57,116.59191,39.80245
111,2008-02-04 16:34:13,116.59299,39.80239
111,2008-02-04 17:58:33,116.59338,39.80474
111,2008-02-04 18:01:48,116.60163,39.8052
111,2008-02-04 18:06:35,116.60194,39.82554
111,2008-02-04 18:11:51,116.64148,39.82783
111,2008-02-04 18:11:51,116.64148,39.82783
111,2008-02-04 18:16:39,116.6634,39.82086
111,2008-02-04 18:16:39,116.6634,39.82086
111,2008-02-04 18:16:53,116.66402,39.82102
111,2008-02-04 18:21:55,116.65894,39.83057
111,2008-02-04 18:26:42,116.64206,39.83181
111,2008-02-04 18:26:56,116.64206,39.83181
111,2008-02-04 18:31:58,116.64206,39.83181
111,2008-02-04 18:36:45,116.64463,39.83259
111,2008-02-05 00:27:46,116.64217,39.83211
111,2008-02-05 00:32:48,116.64217,39.83211
